node.exe : Initialising login role...
En línea: 1 Carácter: 1
+ & "C:\Program Files\nodejs/node.exe" "C:\Users\Shadow\AppData\Roaming ...
+ ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
    + CategoryInfo          : NotSpecified: (Initialising login role...:String) [], RemoteException
    + FullyQualifiedErrorId : NativeCommandError
 
Connecting to remote database...
Skipping migration README.md... (file name must match pattern "<timestamp>_name.sql")

  
   Local          | Remote         | Time (UTC)          
  ----------------|----------------|---------------------
   20260418165339 | 20260418165339 | 2026-04-18 16:53:39 
   20260418183239 | 20260418183239 | 2026-04-18 18:32:39 
   20260418193915 | 20260418193915 | 2026-04-18 19:39:15 
   20260420202847 | 20260420202847 | 2026-04-20 20:28:47 
   20260423014144 | 20260423014144 | 2026-04-23 01:41:44 
   20260423014326 | 20260423014326 | 2026-04-23 01:43:26 
   20260429081728 | 20260429081728 | 2026-04-29 08:17:28 
   20260429081734 | 20260429081734 | 2026-04-29 08:17:34 
   20260429081754 | 20260429081754 | 2026-04-29 08:17:54 
   20260429081800 | 20260429081800 | 2026-04-29 08:18:00 
   20260429164717 | 20260429164717 | 2026-04-29 16:47:17 
   20260429172732 | 20260429172732 | 2026-04-29 17:27:32 
   20260429173828 | 20260429173828 | 2026-04-29 17:38:28 
   20260430210000 | 20260430210000 | 2026-04-30 21:00:00 
   20260430233000 | 20260430233000 | 2026-04-30 23:30:00 
   20260430233100 | 20260430233100 | 2026-04-30 23:31:00 
   20260430233200 | 20260430233200 | 2026-04-30 23:32:00 
   20260430233300 | 20260430233300 | 2026-04-30 23:33:00 
   20260430233400 | 20260430233400 | 2026-04-30 23:34:00 
   20260501041500 | 20260501041500 | 2026-05-01 04:15:00 
   20260501050000 | 20260501050000 | 2026-05-01 05:00:00 
   20260501070000 | 20260501070000 | 2026-05-01 07:00:00 
   20260502033000 | 20260502033000 | 2026-05-02 03:30:00 
