component_id,component_name,component_kind,lifecycle_status,entity,area,primary_owner_role,steward_ops_domain,secondary_owner_role,escalation_owner_role,repo_slug,github_url,api_exposure,api_spec_pointer,integration_pattern,depends_on_component_ids,parent_component_id,primary_process_item_id,related_process_item_ids,topic_ids,access_level_data,data_classification,environment_scope,slo_tier,runbook_link,doc_link,legal_hold,retention_policy_ref,last_verified_date,source_row,notes
comp_matriz_00002,Postman — Postman,saas,active,HLK Tech Lab,Tech,System Owner,DEVOPS,,System Owner,,,internal,,n_a,,,,,,3,internal,multi,standard,,,,,2026-04-20,matriz_componentes_xlsx,category=Storage; subcategory=API; object_class=Euclid
comp_matriz_00003,ButterCup — ButterCup,saas,active,HLK Tech Lab,Tech,System Owner,DEVOPS,,System Owner,,,internal,,n_a,,,,,,3,internal,multi,standard,,,,,2026-04-20,matriz_componentes_xlsx,category=Storage; subcategory=API; object_class=Safe
comp_matriz_00004,FastAPI — FastAPI,saas,active,HLK Tech Lab,Tech,System Owner,DEVOPS,,System Owner,,,internal,,n_a,,,,,,3,internal,multi,standard,,,,,2026-04-20,matriz_componentes_xlsx,category=Storage; subcategory=API; object_class=Euclid
comp_matriz_00005,Make — Make,saas,active,HLK Tech Lab,Tech,System Owner,DEVOPS,,System Owner,,,internal,,n_a,,,,,,3,internal,multi,standard,,,,,2026-04-20,matriz_componentes_xlsx,category=Storage; subcategory=API; object_class=Safe
comp_matriz_00006,Obsidian — Obsidian,saas,active,HLK Tech Lab,Tech,System Owner,DEVOPS,,System Owner,,,internal,,n_a,,,,,,3,internal,multi,standard,,,,,2026-04-20,matriz_componentes_xlsx,category=Storage; subcategory=API; object_class=Keter
comp_matriz_00007,Obsidian — Obsidian (sheet row 7),infrastructure,active,HLK Tech Lab,Tech,System Owner,DEVOPS,,System Owner,,,none,,n_a,,,,,,3,internal,multi,standard,,,,,2026-04-20,matriz_componentes_xlsx,category=Hosting; subcategory=Codebase; object_class=Keter
comp_matriz_00008,Supabase — Supabase,saas,active,HLK Tech Lab,Tech,System Owner,DEVOPS,,System Owner,,,none,,n_a,,,,,,3,internal,multi,standard,,,,,2026-04-20,matriz_componentes_xlsx,category=Storage; subcategory=Database; object_class=Keter
comp_matriz_00009,Supabase — Supabase (sheet row 9),saas,active,HLK Tech Lab,Tech,System Owner,DEVOPS,,System Owner,,,internal,,n_a,,,,,,3,internal,multi,standard,,,,,2026-04-20,matriz_componentes_xlsx,category=Storage; subcategory=API; object_class=Keter
comp_matriz_00010,Pipedrive — Pipedrive,saas,active,HLK Tech Lab,Tech,System Owner,DEVOPS,,System Owner,,,internal,,n_a,,,,,,3,internal,multi,standard,,,,,2026-04-20,matriz_componentes_xlsx,category=Storage; subcategory=API; object_class=Safe
comp_matriz_00011,N8n — N8n,saas,active,HLK Tech Lab,Tech,System Owner,DEVOPS,,System Owner,,,internal,,n_a,,,,,,3,internal,multi,standard,,,,,2026-04-20,matriz_componentes_xlsx,category=Storage; subcategory=API; object_class=Safe
